3 71.295 15.490 0.035 1.44
3 75.263 16.100 0.036 1.47
3 79.163 16.828 0.037 1.51
3 83.080 17.524 0.039 1.54
3 87.027 18.156 0.040 1.57
3 90.957 18.902 0.042 1.60
3 94.888 19.657 0.044 1.63
3 98.800 20.481 0.044 1.66
3 102.714 21.299 0.046 1.69
3 106.621 22.064 0.046 1.73
3 110.461 22.921 0.047 1.76
3 114.453 23.722 0.049 1.79
3 118.381 24.475 0.050 1.82
3 122.311 25.172 0.051 1.85
3 130.207 26.370 0.053 1.91
3 134.167 26.921 0.057 1.95
3 138.127 27.420 0.059 1.98
3 142.057 27.963 0.060 2.01
3 146.031 28.600 0.062 2.04
3 149.992 29.190 0.060 2.07
3 153.949 29.720 0.063 2.10
3 157.873 30.282 0.064 2.14
3 161.835 30.814 0.065 2.17
3 165.817 31.295 0.066 2.20
3 169.793 31.792 0.069 2.23
3 173.759 32.416 0.071 2.26
3 177.684 33.087 0.077 2.29
3 181.630 33.634 0.079 2.33
3 185.663 34.180 0.080 2.36
3 189.558 34.757 0.081 2.39
3 193.531 35.245 0.083 2.42
3 197.482 35.664 0.084 2.45
3 201.424 36.301 0.086 2.48
3 205.362 36.964 0.086 2.52
3 209.276 37.762 0.087 2.55
3 213.202 38.513 0.089 2.58
3 217.114 39.237 0.091 2.61
3 221.069 39.887 0.093 2.64
3 225.022 40.296 0.094 2.67
3 229.006 40.725 0.094 2.70
3 232.920 41.201 0.095 2.74
3 236.904 41.783 0.095 2.77
3 240.846 42.461 0.097 2.80
3 244.758 43.184 0.098 2.83
3 248.716 43.717 0.099 2.86
3 252.666 44.280 0.099 2.89
3 256.627 44.771 0.101 2.93
3 260.596 45.287 0.102 2.96
3 264.526 45.769 0.103 2.99
3 268.516 46.131 0.104 3.02
3 272.489 46.691 0.106 3.05
3 276.452 47.234 0.106 3.08
3 280.392 47.713 0.106 3.12
3 319.962 52.963 0.113 3.43
3 323.962 53.446 0.114 3.46
3 327.913 53.858 0.115 3.50
4 0.000 7.029 0.017 1.19
4 3.978 7.279 0.015 1.16
4 7.973 7.542 0.014 1.13
4 11.940 7.816 0.012 1.10
4 15.926 8.170 0.010 1.06
4 19.891 8.431 0.008 1.03
4 27.852 9.119 0.007 1.03
4 31.943 9.536 0.009 1.06
4 35.829 10.038 0.011 1.09
4 39.832 10.493 0.014 1.13
4 43.816 10.915 0.016 1.16
4 47.673 11.529 0.019 1.19
4 51.610 12.246 0.021 1.22
4 55.568 12.840 0.024 1.25
4 59.591 13.512 0.026 1.28
4 63.437 14.197 0.029 1.32
4 67.352 14.925 0.030 1.35
4 71.295 15.490 0.032 1.38
4 75.263 16.100 0.033 1.41
4 79.163 16.828 0.035 1.44
4 83.080 17.524 0.036 1.47
4 87.027 18.156 0.038 1.50
4 90.957 18.902 0.040 1.54
4 94.888 19.657 0.041 1.57
4 98.800 20.481 0.043 1.60
4 102.714 21.299 0.044 1.63
4 106.621 22.064 0.045 1.66
4 110.461 22.921 0.047 1.69
4 114.453 23.722 0.049 1.72
4 118.381 24.475 0.050 1.76
4 122.311 25.172 0.052 1.79
4 126.252 25.794 0.053 1.82
4 130.207 26.370 0.055 1.85
4 134.167 26.921 0.056 1.88
4 138.127 27.420 0.058 1.91
4 142.057 27.963 0.059 1.94
4 146.031 28.600 0.061 1.98
4 149.992 29.190 0.062 2.01
4 153.949 29.720 0.064 2.04
4 157.873 30.282 0.065 2.07
4 161.835 30.814 0.067 2.10
4 165.817 31.295 0.068 2.13
4 169.793 31.792 0.070 2.17
4 173.759 32.416 0.071 2.20
4 177.684 33.087 0.073 2.23
4 181.630 33.634 0.075 2.26
4 185.663 34.180 0.077 2.29
4 189.558 34.757 0.080 2.32
4 193.531 35.245 0.081 2.36
4 197.482 35.664 0.082 2.39
4 201.424 36.301 0.083 2.42
4 205.362 36.964 0.084 2.45
4 209.276 37.762 0.085 2.48
4 213.202 38.513 0.086 2.51
4 217.114 39.237 0.087 2.55
4 221.069 39.887 0.088 2.58
4 225.022 40.296 0.089 2.61
4 229.006 40.725 0.090 2.64
4 232.920 41.201 0.091 2.67
4 236.904 41.783 0.092 2.70
4 240.846 42.461 0.093 2.73
4 244.758 43.184 0.094 2.77
4 248.716 43.717 0.095 2.80
4 252.666 44.280 0.096 2.83
4 256.627 44.771 0.097 2.86
4 260.596 45.287 0.098 2.89
4 264.526 45.769 0.100 2.92
4 268.516 46.131 0.101 2.96
4 272.489 46.691 0.102 2.99
4 276.452 47.234 0.102 3.02
4 280.392 47.713 0.104 3.05
4 284.375 48.141 0.105 3.08
4 288.339 48.570 0.106 3.11
4 292.333 49.132 0.107 3.15
4 296.210 49.683 0.108 3.18
4 300.190 50.324 0.109 3.21
4 304.134 50.907 0.110 3.24
4 308.104 51.447 0.111 3.27
4 312.018 51.972 0.112 3.30
4 316.015 52.415 0.113 3.34
4 319.962 52.963 0.115 3.37
4 323.962 53.446 0.116 3.40
4 327.913 53.858 0.117 3.43
4 331.921 54.253 0.119 3.46
4 335.859 54.646 0.120 3.50
4 339.831 55.036 0.121 3.53
4 343.784 55.368 0.123 3.56
4 347.780 55.717 0.123 3.59
4 351.726 56.068 0.123 3.62
4 355.726 56.497 0.123 3.65
4 359.729 56.910 0.123 3.69
4 363.635 57.348 0.123 3.72
5 0.000 7.029 0.023 1.26
5 3.978 7.279 0.021 1.22
5 7.973 7.542 0.019 1.19
5 11.940 7.816 0.017 1.16
5 15.926 8.170 0.014 1.13
5 19.891 8.431 0.012 1.10
5 23.974 8.691 0.010 1.06
5 27.852 9.119 0.007 1.03
5 47.673 11.529 0.016 1.13
5 51.610 12.246 0.018 1.16
5 55.568 12.840 0.019 1.19
5 59.591 13.512 0.021 1.22
5 63.437 14.197 0.023 1.25
5 67.352 14.925 0.025 1.28
5 71.295 15.490 0.026 1.31
5 75.263 16.100 0.028 1.35
5 79.163 16.828 0.029 1.38
5 83.080 17.524 0.030 1.41
5 87.027 18.156 0.032 1.44
5 90.957 18.902 0.033 1.47
5 94.888 19.657 0.035 1.50
5 98.800 20.481 0.036 1.53
5 102.714 21.299 0.037 1.57
5 106.621 22.064 0.039 1.60
5 110.461 22.921 0.040 1.63
5 114.453 23.722 0.042 1.66
5 118.381 24.475 0.043 1.69
5 122.311 25.172 0.044 1.72
5 126.252 25.794 0.046 1.75
5 130.207 26.370 0.047 1.79
5 134.167 26.921 0.049 1.82
5 138.127 27.420 0.050 1.85
5 142.057 27.963 0.051 1.88
5 146.031 28.600 0.053 1.91
5 149.992 29.190 0.054 1.94
5 153.949 29.720 0.056 1.98
5 157.873 30.282 0.058 2.01
5 161.835 30.814 0.059 2.04
5 165.817 31.295 0.061 2.07
5 169.793 31.792 0.062 2.10
5 173.759 32.416 0.064 2.13
5 177.684 33.087 0.067 2.17
5 181.630 33.634 0.069 2.20
5 185.663 34.180 0.071 2.23
5 189.558 34.757 0.074 2.26
5 193.531 35.245 0.076 2.29
5 197.482 35.664 0.079 2.32
5 201.424 36.301 0.081 2.36
5 205.362 36.964 0.082 2.39
5 209.276 37.762 0.083 2.42
5 213.202 38.513 0.084 2.45
5 217.114 39.237 0.085 2.48
5 221.069 39.887 0.086 2.51
5 225.022 40.296 0.087 2.54
5 229.006 40.725 0.088 2.58
5 232.920 41.201 0.089 2.61
5 236.904 41.783 0.090 2.64
5 240.846 42.461 0.091 2.67
5 244.758 43.184 0.093 2.70
5 248.716 43.717 0.094 2.73
5 252.666 44.280 0.095 2.77
5 256.627 44.771 0.096 2.80
5 260.596 45.287 0.097 2.83
5 264.526 45.769 0.099 2.86
5 268.516 46.131 0.100 2.89
5 272.489 46.691 0.102 2.92
5 276.452 47.234 0.103 2.96
5 280.392 47.713 0.104 2.99
5 284.375 48.141 0.106 3.02
5 288.339 48.570 0.107 3.05
5 292.333 49.132 0.108 3.08
5 296.210 49.683 0.110 3.11
5 300.190 50.324 0.111 3.15
5 304.134 50.907 0.111 3.18
5 308.104 51.447 0.112 3.21
5 312.018 51.972 0.113 3.24
5 316.015 52.415 0.114 3.27
5 319.962 52.963 0.115 3.30
5 323.962 53.446 0.115 3.34
5 327.913 53.858 0.116 3.37
5 331.921 54.253 0.117 3.40
5 335.859 54.646 0.118 3.43
5 339.831 55.036 0.119 3.46
5 343.784 55.368 0.119 3.49
5 347.780 55.717 0.120 3.53
5 351.726 56.068 0.121 3.56
5 355.726 56.497 0.122 3.59
5 359.729 56.910 0.123 3.62
5 363.635 57.348 0.123 3.65
5 367.604 57.826 0.124 3.69
5 371.556 58.311 0.125 3.72
5 375.566 58.794 0.126 3.75
5 379.527 59.266 0.127 3.78
5 383.508 59.769 0.127 3.81
6 0.000 7.029 0.027 1.32
6 3.978 7.279 0.025 1.29
6 7.973 7.542 0.023 1.25
6 11.940 7.816 0.021 1.22
6 15.926 8.170 0.019 1.19
6 19.891 8.431 0.017 1.16
6 23.974 8.691 0.015 1.13
6 27.852 9.119 0.012 1.10
6 51.610 12.246 0.018 1.09
6 55.568 12.840 0.020 1.13
6 59.591 13.512 0.021 1.16
6 63.437 14.197 0.023 1.19
6 67.352 14.925 0.025 1.22
6 71.295 15.490 0.026 1.25
6 75.263 16.100 0.028 1.28
6 79.163 16.828 0.030 1.31
6 83.080 17.524 0.031 1.35
6 87.027 18.156 0.033 1.38
6 90.957 18.902 0.034 1.41
6 94.888 19.657 0.035 1.44
6 98.800 20.481 0.037 1.47
6 102.714 21.299 0.038 1.50
6 106.621 22.064 0.040 1.53
6 110.461 22.921 0.041 1.57
6 114.453 23.722 0.043 1.60
6 118.381 24.475 0.044 1.63
6 122.311 25.172 0.046 1.66
6 126.252 25.794 0.047 1.69
6 130.207 26.370 0.049 1.72
6 134.167 26.921 0.050 1.75
6 138.127 27.420 0.051 1.79
6 142.057 27.963 0.053 1.82
6 146.031 28.600 0.054 1.85
6 149.992 29.190 0.056 1.88
6 153.949 29.720 0.057 1.91
6 157.873 30.282 0.059 1.94
6 161.835 30.814 0.060 1.98
6 165.817 31.295 0.063 2.01
6 169.793 31.792 0.066 2.04
6 173.759 32.416 0.069 2.07
6 177.684 33.087 0.072 2.10
6 181.630 33.634 0.075 2.13
6 185.663 34.180 0.076 2.17
6 189.558 34.757 0.078 2.20
6 193.531 35.245 0.079 2.23
6 197.482 35.664 0.080 2.26
6 201.424 36.301 0.082 2.29
6 205.362 36.964 0.083 2.32
6 209.276 37.762 0.084 2.36
6 213.202 38.513 0.085 2.39
6 217.114 39.237 0.086 2.42
6 221.069 39.887 0.088 2.45
6 225.022 40.296 0.089 2.48
6 229.006 40.725 0.090 2.51
6 232.920 41.201 0.091 2.54
6 236.904 41.783 0.093 2.58
6 240.846 42.461 0.094 2.61
6 244.758 43.184 0.095 2.64
6 248.716 43.717 0.096 2.67
6 252.666 44.280 0.098 2.70
6 256.627 44.771 0.099 2.73
6 260.596 45.287 0.100 2.77
6 264.526 45.769 0.101 2.80
6 268.516 46.131 0.102 2.83
6 272.489 46.691 0.102 2.86
6 276.452 47.234 0.103 2.89
6 280.392 47.713 0.103 2.92
6 284.375 48.141 0.104 2.96
6 288.339 48.570 0.105 2.99
6 292.333 49.132 0.105 3.02
6 296.210 49.683 0.106 3.05
6 300.190 50.324 0.106 3.08
6 304.134 50.907 0.107 3.11
6 308.104 51.447 0.108 3.15
6 312.018 51.972 0.110 3.18
6 316.015 52.415 0.111 3.21
6 319.962 52.963 0.112 3.24
6 323.962 53.446 0.114 3.27
6 327.913 53.858 0.115 3.30
6 331.921 54.253 0.117 3.34
6 335.859 54.646 0.118 3.37
6 339.831 55.036 0.119 3.40
6 343.784 55.368 0.119 3.43
6 347.780 55.717 0.120 3.46
6 351.726 56.068 0.120 3.50
6 355.726 56.497 0.120 3.53
6 359.729 56.910 0.121 3.56
6 363.635 57.348 0.121 3.59
6 367.604 57.826 0.121 3.62
7 0.000 7.029 0.030 1.38
7 3.978 7.279 0.028 1.35
7 7.973 7.542 0.026 1.32
7 11.940 7.816 0.024 1.29
7 15.926 8.170 0.023 1.25
7 19.891 8.431 0.021 1.22
7 23.974 8.691 0.019 1.19
7 27.852 9.119 0.017 1.16
7 31.943 9.536 0.015 1.13
7 35.829 10.038 0.013 1.09
7 59.591 13.512 0.012 1.10
7 63.437 14.197 0.013 1.13
7 67.352 14.925 0.015 1.16
7 71.295 15.490 0.017 1.19
7 75.263 16.100 0.018 1.22
7 79.163 16.828 0.020 1.25
7 83.080 17.524 0.022 1.28
7 87.027 18.156 0.024 1.31
7 90.957 18.902 0.025 1.35
7 94.888 19.657 0.027 1.38
7 98.800 20.481 0.029 1.41
7 102.714 21.299 0.031 1.44
7 106.621 22.064 0.033 1.47
7 110.461 22.921 0.035 1.50
7 114.453 23.722 0.036 1.53
7 118.381 24.475 0.038 1.57
7 122.311 25.172 0.040 1.60
7 126.252 25.794 0.042 1.63
7 130.207 26.370 0.044 1.66
7 134.167 26.921 0.046 1.69
7 138.127 27.420 0.048 1.72
7 142.057 27.963 0.050 1.76
7 146.031 28.600 0.051 1.79
7 149.992 29.190 0.053 1.82
7 153.949 29.720 0.054 1.85
7 157.873 30.282 0.056 1.88
7 161.835 30.814 0.057 1.91
7 165.817 31.295 0.059 1.95
7 169.793 31.792 0.060 1.98
7 173.759 32.416 0.063 2.01
7 177.684 33.087 0.065 2.04
7 181.630 33.634 0.067 2.07
7 185.663 34.180 0.070 2.10
7 189.558 34.757 0.072 2.14
7 193.531 35.245 0.073 2.17
7 197.482 35.664 0.074 2.20
7 201.424 36.301 0.076 2.23
7 205.362 36.964 0.077 2.26
7 209.276 37.762 0.078 2.29
7 213.202 38.513 0.079 2.32
7 217.114 39.237 0.080 2.36
7 221.069 39.887 0.082 2.39
7 225.022 40.296 0.083 2.42
7 229.006 40.725 0.084 2.45
7 232.920 41.201 0.085 2.48
7 236.904 41.783 0.087 2.51
7 240.846 42.461 0.088 2.55
7 244.758 43.184 0.089 2.58
7 248.716 43.717 0.090 2.61
7 252.666 44.280 0.092 2.64
7 256.627 44.771 0.093 2.67
7 260.596 45.287 0.094 2.70
7 264.526 45.769 0.096 2.73
7 268.516 46.131 0.097 2.77
8 0.000 7.029 0.034 1.44
8 3.978 7.279 0.032 1.41
8 7.973 7.542 0.030 1.38
8 11.940 7.816 0.028 1.35
8 15.926 8.170 0.026 1.32
8 19.891 8.431 0.024 1.29
8 23.974 8.691 0.022 1.25
8 27.852 9.119 0.020 1.22
8 31.943 9.536 0.019 1.19
8 35.829 10.038 0.017 1.16
8 71.295 15.490 0.013 1.13
8 75.263 16.100 0.016 1.16
8 79.163 16.828 0.018 1.19
8 83.080 17.524 0.020 1.22
8 87.027 18.156 0.022 1.25
8 90.957 18.902 0.024 1.28
8 94.888 19.657 0.026 1.31
8 98.800 20.481 0.028 1.35
8 102.714 21.299 0.030 1.38
8 106.621 22.064 0.032 1.41
8 110.461 22.921 0.034 1.44
8 114.453 23.722 0.036 1.47
8 118.381 24.475 0.039 1.50
8 122.311 25.172 0.041 1.53
8 126.252 25.794 0.043 1.57
8 130.207 26.370 0.045 1.60
8 134.167 26.921 0.047 1.63
8 138.127 27.420 0.049 1.66
8 142.057 27.963 0.050 1.69
8 146.031 28.600 0.051 1.72
8 149.992 29.190 0.051 1.76
8 153.949 29.720 0.052 1.79
8 157.873 30.282 0.053 1.82
8 161.835 30.814 0.054 1.85
8 165.817 31.295 0.057 1.88
8 169.793 31.792 0.059 1.91
8 173.759 32.416 0.062 1.95
8 177.684 33.087 0.065 1.98
8 181.630 33.634 0.068 2.01
8 185.663 34.180 0.071 2.04
8 189.558 34.757 0.073 2.07
8 193.531 35.245 0.074 2.10
8 197.482 35.664 0.075 2.14
8 201.424 36.301 0.077 2.17
8 205.362 36.964 0.078 2.20
8 209.276 37.762 0.079 2.23
8 213.202 38.513 0.080 2.26
8 217.114 39.237 0.081 2.29
8 221.069 39.887 0.083 2.32
8 225.022 40.296 0.084 2.36
8 229.006 40.725 0.085 2.39
8 232.920 41.201 0.086 2.42
8 236.904 41.783 0.087 2.45
8 240.846 42.461 0.089 2.48
8 244.758 43.184 0.090 2.51
8 248.716 43.717 0.091 2.55
8 252.666 44.280 0.092 2.58
8 256.627 44.771 0.094 2.61
8 260.596 45.287 0.095 2.64
8 347.780 55.717 0.116 3.34
8 351.726 56.068 0.117 3.37
8 355.726 56.497 0.118 3.40
8 359.729 56.910 0.119 3.43
8 363.635 57.348 0.120 3.46
8 367.604 57.826 0.121 3.50
8 371.556 58.311 0.122 3.53
8 375.566 58.794 0.123 3.56
9 0.000 7.029 0.038 1.51
9 3.978 7.279 0.037 1.48
9 7.973 7.542 0.035 1.44
9 11.940 7.816 0.034 1.41
9 15.926 8.170 0.033 1.38
9 19.891 8.431 0.031 1.35
9 23.974 8.691 0.030 1.32
9 27.852 9.119 0.028 1.28
9 31.943 9.536 0.026 1.25
9 35.829 10.038 0.025 1.22
9 39.832 10.493 0.023 1.19
9 43.816 10.915 0.021 1.16
9 47.673 11.529 0.018 1.13
9 51.610 12.246 0.015 1.09
9 55.568 12.840 0.011 1.06
9 59.591 13.512 0.008 1.03
9 71.295 15.490 0.011 1.06
9 75.263 16.100 0.016 1.09
9 79.163 16.828 0.021 1.13
9 83.080 17.524 0.026 1.16
9 87.027 18.156 0.028 1.19
9 90.957 18.902 0.029 1.22
9 94.888 19.657 0.031 1.25
9 98.800 20.481 0.032 1.28
9 102.714 21.299 0.033 1.31
9 106.621 22.064 0.034 1.35
